date,hospitalises,reanimation,deces_cumul,retours_domicile_cumul
2020-03-18,2972,771,218,816
2020-03-19,4073,1002,327,1180
2020-03-20,5226,1297,450,1587
2020-03-21,5900,1453,525,1811
2020-03-22,6954,1674,632,2117
2020-03-23,8673,2080,860,2567
2020-03-24,10163,2503,1100,3281
2020-03-25,12072,2935,1388,4085
2020-03-26,13879,3351,1696,4947
2020-03-27,15701,3758,1995,5698
2020-03-28,17580,4236,2314,6624
2020-03-29,19311,4592,2606,7131
2020-03-30,20946,5056,3024,7923
2020-03-31,22672,5496,3523,9443
2020-04-01,24543,5940,4032,10934
2020-04-02,26131,6305,4503,12427
2020-04-03,27302,6556,5091,14007
2020-04-04,28003,6723,5532,15437
2020-04-05,28747,6859,5889,16182
2020-04-06,29569,6948,6494,17249
2020-04-07,29871,7004,7091,19336
2020-04-08,30217,7019,7632,21253
2020-04-09,30608,6937,8044,23205
2020-04-10,31108,6875,8598,24931
2020-04-11,31159,6752,8943,26390
2020-04-12,31665,6714,9253,27185
2020-04-13,31952,6690,9588,27717
2020-04-14,32131,6599,10129,28804
2020-04-15,31623,6331,10643,30952
2020-04-16,31172,6139,11053,32806
2020-04-17,31061,5922,11470,34414
2020-04-18,30515,5733,11834,35977
2020-04-19,30486,5644,12061,36572
2020-04-20,30462,5584,12505,37403
2020-04-21,29984,5334,12892,39175
2020-04-22,29627,5127,13225,40651
2020-04-23,29113,4967,13536,42082
2020-04-24,28554,4785,13841,43486
2020-04-25,28119,4641,14039,44587
2020-04-26,28114,4598,14191,44896
2020-04-27,27954,4526,14486,45506
2020-04-28,27607,4392,14676,46322
2020-04-29,26736,4128,15041,48221
2020-04-30,26192,3947,15231,49469
2020-05-01,25809,3819,15350,50204
2020-05-02,25751,3770,15468,50554
2020-05-03,25739,3762,15564,50776
2020-05-04,25472,3639,15807,51363
2020-05-05,24701,3375,16041,52728
2020-05-06,23912,3095,16218,53963
2020-05-07,23139,2911,16367,55018
2020-05-08,22657,2820,16478,55773
2020-05-09,22547,2764,16554,56029
2020-05-10,22502,2728,16623,56208
2020-05-11,22219,2666,16801,56715
2020-05-12,21530,2496,16984,57776
2020-05-13,21009,2385,17082,58664
2020-05-14,20401,2256,17205,59596
2020-05-15,19801,2162,17323,60439
2020-05-16,19372,2091,17393,61057
2020-05-17,19302,2047,17447,61204
2020-05-18,18956,1958,17570,61719
2020-05-19,18409,1854,17695,62554
2020-05-20,17882,1754,17793,63345
2020-05-21,17527,1708,17851,63849
2020-05-22,17327,1664,17925,64200
2020-05-23,17122,1628,17968,64538
2020-05-24,17129,1618,18003,64608
2020-05-25,16742,1572,18093,65190
2020-05-26,16209,1519,18175,65870
2020-05-27,15627,1467,18240,66575
2020-05-28,15155,1395,18306,67182
2020-05-29,14643,1328,18367,67794
2020-05-30,14329,1293,18424,68259
2020-05-31,14271,1287,18455,68346
2020-06-01,14237,1270,18486,68431
2020-06-02,13978,1221,18570,68803
2020-06-03,13465,1179,18651,69446
2020-06-04,13054,1133,18695,69967
2020-06-05,12650,1065,18741,70494
2020-06-06,12433,1030,18772,70796
2020-06-07,12415,1024,18785,70832
2020-06-08,12269,995,18839,71052
2020-06-09,11915,926,18892,71496
2020-06-10,11632,904,18915,71822
2020-06-11,11420,875,18942,72139
2020-06-12,11079,851,18970,72562
2020-06-13,10864,843,18994,72798
2020-06-14,10836,841,19003,72849
2020-06-15,10707,818,19032,73034
2020-06-16,10490,792,19070,73325
2020-06-17,10222,744,19098,73657
2020-06-18,10080,724,19126,73877
2020-06-19,9925,699,19140,74107
2020-06-20,9792,687,19156,74302
2020-06-21,9778,687,19163,74362
2020-06-22,9648,673,19186,74602
2020-06-23,9446,654,19212,74861
2020-06-24,9254,630,19223,75117
2020-06-25,9096,623,19244,75341
2020-06-26,8841,606,19270,75639
2020-06-27,8715,594,19285,75803
2020-06-28,8727,594,19287,75833
2020-06-29,8643,591,19305,75989
2020-06-30,8491,574,19326,76264
2020-07-01,8291,554,19344,76539
2020-07-02,8103,545,19358,76792
2020-07-03,7946,533,19376,77049
2020-07-04,7863,517,19388,77160
2020-07-05,7863,521,19390,77179
2020-07-06,7806,521,19403,77308
2020-07-07,7550,511,19437,77644
2020-07-08,7254,503,19469,77985
2020-07-09,7134,486,19483,78159
2020-07-10,7020,471,19508,78377
2020-07-11,6995,470,19514,78454
2020-07-12,6991,473,19515,78486
2020-07-13,6941,467,19533,78586
2020-07-14,6907,465,19539,78670
2020-07-15,6873,457,19559,78809
2020-07-16,6754,456,19577,79025
2020-07-17,6646,452,19591,79233
2020-07-18,6614,450,19599,79322
2020-07-19,6583,448,19600,79384
2020-07-20,6547,442,19616,79530
2020-07-21,6440,430,19629,79723
2020-07-22,6324,420,19636,79946
2020-07-23,5915,411,19646,80461
2020-07-24,5678,385,19656,80804
2020-07-25,5634,368,19664,80915
2020-07-26,5640,367,19665,80947
2020-07-27,5614,374,19673,81071
2020-07-28,5510,361,19688,81300
2020-07-29,5409,356,19703,81489
2020-07-30,5334,357,19719,81656
2020-07-31,5257,347,19730,81870
2020-08-01,5177,344,19736,82016
2020-08-02,5188,345,19737,82029
2020-08-03,5157,360,19759,82155
2020-08-04,5121,364,19770,82307
2020-08-05,5107,360,19779,82449
2020-08-06,5019,366,19786,82659
2020-08-07,4970,359,19798,82825
2020-08-08,4981,366,19800,82881
2020-08-09,4992,368,19800,82886
2020-08-10,5004,372,19814,83036
2020-08-11,4971,367,19829,83226
2020-08-12,4850,355,19846,83461
2020-08-13,4824,351,19863,83651
2020-08-14,4788,344,19881,83836
2020-08-15,4817,353,19884,83880
2020-08-16,4820,353,19885,83909
2020-08-17,4885,361,19904,84053
2020-08-18,4783,357,19920,84297
2020-08-19,4781,362,19937,84440
2020-08-20,4723,368,19949,84615
2020-08-21,4720,367,19972,84802
2020-08-22,4685,368,19980,84923
2020-08-23,4683,371,19981,84946
2020-08-24,4664,387,19996,85172
2020-08-25,4578,401,20016,85494
2020-08-26,4535,373,20034,85731
2020-08-27,4517,375,20046,85954
2020-08-28,4517,381,20065,86147
2020-08-29,4512,394,20071,86268
2020-08-30,4517,396,20075,86280
2020-08-31,4564,403,20104,86439
2020-09-01,4586,418,20123,86682
2020-09-02,4614,440,20148,86933
2020-09-03,4625,458,20168,87176
2020-09-04,4653,467,20186,87417
2020-09-05,4667,476,20198,87549
2020-09-06,4697,480,20201,87578
2020-09-07,4889,531,20226,87806
2020-09-08,4942,568,20265,88196
2020-09-09,4985,593,20295,88494
2020-09-10,5077,608,20314,88712
2020-09-11,5136,628,20354,89029
2020-09-12,5176,655,20371,89201
2020-09-13,5228,662,20377,89240
2020-09-14,5479,705,20411,89477
2020-09-15,5660,752,20447,89861
2020-09-16,5800,796,20493,90305
2020-09-17,5825,793,20543,90810
2020-09-18,5800,820,20665,91544
2020-09-19,5493,827,20690,92289
2020-09-20,5356,834,20701,92552
2020-09-21,5597,912,20754,92978
2020-09-22,5777,944,20821,93508
2020-09-23,5913,995,20864,93952
2020-09-24,6012,1041,20916,94383
2020-09-25,6110,1092,20971,94860
2020-09-26,6154,1105,21010,95272
2020-09-27,6235,1112,21037,95395
2020-09-28,6397,1158,21118,95743
2020-09-29,6482,1198,21177,96296
2020-09-30,6572,1232,21240,96766
2020-10-01,6634,1259,21303,97240
2020-10-02,6740,1270,21350,97747
2020-10-03,6740,1289,21393,98199
2020-10-04,6964,1335,21425,98343
2020-10-05,7276,1409,21494,98649
2020-10-06,7377,1417,21556,99264
2020-10-07,7514,1406,21636,99762
2020-10-08,7603,1418,21712,100275
2020-10-09,7843,1439,21774,100797
2020-10-10,7976,1456,21828,101280
2020-10-11,8231,1483,21874,101460
2020-10-12,8671,1539,21969,101868
2020-10-13,8928,1633,22053,102649
2020-10-14,9173,1664,22157,103382
2020-10-15,9584,1741,22245,104051
2020-10-16,10021,1791,22367,104665
2020-10-17,10399,1868,22456,105163
2020-10-18,10897,1939,22541,105400
2020-10-19,11640,2090,22687,105904
2020-10-20,12435,2168,22849,106808
2020-10-21,13162,2239,23012,107621
2020-10-22,14009,2310,23174,108568
2020-10-23,14985,2432,23358,109455
2020-10-24,15637,2491,23495,110291
2020-10-25,16454,2575,23611,110629
2020-10-26,17761,2761,23868,111316
2020-10-27,18955,2909,24156,112685
2020-10-28,20184,3036,24400,113946
2020-10-29,21160,3147,24635,115256
2020-10-30,22153,3368,24890,116502
2020-10-31,23013,3443,25113,117563
2020-11-01,24008,3569,25344,118196
2020-11-02,25120,3721,25760,119073
2020-11-03,26242,3869,26186,120683
2020-11-04,27511,4080,26571,122631
2020-11-05,28403,4221,26934,124247
2020-11-06,28955,4321,27332,126298
2020-11-07,29396,4410,27636,127907
2020-11-08,30217,4527,27906,128583
2020-11-09,31098,4677,28454,129704
2020-11-10,31477,4736,28920,131889
2020-11-11,31918,4789,29248,133665
2020-11-12,32654,4884,29673,134923
2020-11-13,32676,4887,30129,137124
2020-11-14,32468,4855,30483,139110
2020-11-15,33050,4880,30785,139779
2020-11-16,33466,4903,31291,140849
2020-11-17,33139,4838,31719,143121
2020-11-18,32811,4759,32144,145360
2020-11-19,32314,4637,32573,147538
2020-11-20,31875,4566,32954,149490
2020-11-21,31365,4493,33207,151146
2020-11-22,31522,4491,33421,151650
2020-11-23,31449,4438,33921,152561
2020-11-24,30594,4277,34374,154648
2020-11-25,29944,4136,34755,156521
2020-11-26,29282,4006,35094,158205
2020-11-27,28620,3871,35487,159884
2020-11-28,28139,3765,35700,161106
2020-11-29,28284,3744,35898,161396
2020-11-30,28229,3739,36304,162250
2020-12-01,27611,3594,36667,163998
2020-12-02,26986,3478,36976,165532
2020-12-03,26675,3415,37300,166909
2020-12-04,26283,3283,37582,168321
2020-12-05,26040,3220,37796,169327
2020-12-06,26262,3210,37970,169555
2020-12-07,26333,3188,38336,170254
2020-12-08,25882,3078,38713,171837
2020-12-09,25526,3031,39009,173216
2020-12-10,25199,2949,39301,174627
2020-12-11,24943,2874,39605,175860
2020-12-12,24948,2851,39799,176712
2020-12-13,25207,2861,39949,176964
2020-12-14,25449,2896,40320,177616
2020-12-15,25207,2871,40627,179056
2020-12-16,25282,2840,40916,180280
2020-12-17,25149,2798,41174,181475
2020-12-18,24945,2764,41429,182634
2020-12-19,24819,2718,41618,183540
2020-12-20,24961,2745,41749,183775
2020-12-21,25201,2737,42100,184433
2020-12-22,24932,2719,42481,186027
2020-12-23,24852,2701,42757,187241
2020-12-24,24607,2643,43047,188608
2020-12-25,24359,2616,43206,189414
2020-12-26,24444,2640,43352,189687
2020-12-27,24620,2650,43525,189910
2020-12-28,24645,2694,43888,190691
2020-12-29,24743,2666,44272,191775
2020-12-30,24560,2652,44575,193014
2020-12-31,24407,2625,44826,194190
2021-01-01,24263,2609,44959,194870
2021-01-02,24458,2632,45115,195143
2021-01-03,24780,2665,45231,195355
2021-01-04,24962,2657,45609,196006
2021-01-05,24871,2616,45954,197472
2021-01-06,24708,2607,46237,198725
2021-01-07,24488,2573,46513,200048
2021-01-08,24377,2606,46789,201255
2021-01-09,24240,2600,46957,202134
2021-01-10,24526,2620,47108,202398
2021-01-11,24812,2666,47418,203041
2021-01-12,24703,2678,47773,204359
2021-01-13,24735,2701,48002,205641
2021-01-14,24983,2716,48284,206771
2021-01-15,25009,2730,48564,208040
2021-01-16,24985,2731,48757,209025
2021-01-17,25235,2766,48898,209312
2021-01-18,25584,2803,49301,210169
2021-01-19,25532,2829,49670,211785
2021-01-20,25650,2842,49980,213211
2021-01-21,25699,2866,50326,214507
2021-01-22,25872,2902,50645,215791
2021-01-23,25864,2886,50875,216694
2021-01-24,26357,2955,51047,216934
2021-01-25,26888,3031,51492,217677
2021-01-26,27005,3071,51842,219121
2021-01-27,27131,3097,52192,220539
2021-01-28,27128,3101,52536,221872
2021-01-29,27270,3120,52891,223143
2021-01-30,27242,3103,53133,224089
2021-01-31,27573,3148,53328,224375
2021-02-01,27874,3218,53783,225288
2021-02-02,28029,3270,54187,226865
2021-02-03,27953,3267,54544,228441
2021-02-04,27766,3240,54901,229944
2021-02-05,27572,3235,55194,231518
2021-02-06,27327,3215,55385,232662
2021-02-07,27652,3262,55556,232946
2021-02-08,27995,3353,56014,233962
2021-02-09,27634,3332,56450,235686
2021-02-10,27417,3309,56746,237082
2021-02-11,26963,3327,57106,238722
2021-02-12,26424,3298,57423,240259
2021-02-13,26196,3294,57622,241323
2021-02-14,26401,3299,57789,241597
2021-02-15,26478,3371,58201,242497
2021-02-16,26195,3338,58552,244207
2021-02-17,25929,3340,58862,245706
2021-02-18,25717,3384,59133,247096
2021-02-19,25506,3380,59458,248457
2021-02-20,25269,3369,59641,249520
2021-02-21,25464,3392,59800,249727
2021-02-22,25831,3407,60133,250532
2021-02-23,25660,3435,60443,252083
2021-02-24,25614,3436,60720,253450
2021-02-25,25317,3430,60981,254868
2021-02-26,25130,3445,61265,256326
2021-02-27,24989,3453,61450,257258
2021-02-28,25280,3492,61572,257555
2021-03-01,25430,3544,61947,258384
2021-03-02,25263,3586,62247,259893
2021-03-03,25111,3637,62569,261289
2021-03-04,24891,3633,62862,262690
2021-03-05,24765,3680,63100,263919
2021-03-06,24625,3689,63270,264909
2021-03-07,24818,3743,63400,265295
2021-03-08,25195,3849,63759,266096
2021-03-09,25201,3918,64057,267539
2021-03-10,24969,3918,64321,269019
2021-03-11,24858,3992,64586,270433
2021-03-12,24749,4033,64809,271678
2021-03-13,24671,4070,64978,272615
2021-03-14,24989,4127,65118,272960
2021-03-15,25469,4219,65451,273771
2021-03-16,25492,4239,65765,275360
2021-03-17,25314,4219,66006,276993
2021-03-18,25389,4246,66274,278263
2021-03-19,25339,4287,66559,279646
2021-03-20,25537,4353,66735,280571
2021-03-21,25926,4406,66873,280955
2021-03-22,26488,4548,67216,281885
2021-03-23,26756,4634,67503,283507
2021-03-24,26876,4651,67748,285199
2021-03-25,27036,4709,67973,286607
2021-03-26,27242,4766,68276,288062
2021-03-27,27259,4791,68466,289350
2021-03-28,27712,4872,68597,289752
2021-03-29,28322,4974,68957,290810
2021-03-30,28510,5072,69293,292796
2021-03-31,28463,5053,69596,294638
2021-04-01,28581,5109,69904,296166
2021-04-02,28729,5254,70204,297734
2021-04-03,28886,5273,70389,299075
2021-04-04,29356,5341,70574,299624
2021-04-05,29907,5433,70771,300064
2021-04-06,30639,5626,71180,301299
2021-04-07,30904,5729,71601,303639
2021-04-08,30555,5705,71944,305711
2021-04-09,30326,5757,72243,307674
2021-04-10,30238,5769,72450,309136
2021-04-11,30671,5838,72626,309787
2021-04-12,31262,5916,73011,310934
2021-04-13,31226,5952,73335,313051
2021-04-14,30868,5902,73632,315152
2021-04-15,30668,5924,73928,317036
2021-04-16,30472,5914,74234,318923
2021-04-17,30329,5877,74423,320275
2021-04-18,30789,5893,74563,320757
2021-04-19,31214,5970,75010,321889
2021-04-20,31086,5984,75384,323961
2021-04-21,30954,5959,75697,325811
2021-04-22,30634,5981,75980,327668
2021-04-23,30438,5962,76285,329405
2021-04-24,30100,5958,76502,330838
2021-04-25,30287,5978,76647,331362
2021-04-26,30596,6001,77045,332563
2021-04-27,30281,5943,77370,334577
2021-04-28,29911,5879,77685,336281
2021-04-29,29487,5804,77991,338000
2021-04-30,28930,5675,78261,339650
2021-05-01,28603,5581,78453,340997
2021-05-02,28818,5585,78566,341458
2021-05-03,28950,5630,78877,342451
2021-05-04,28427,5504,79120,344265
2021-05-05,27686,5402,79364,346184
2021-05-06,26985,5231,79583,347768
2021-05-07,26331,5106,79809,349293
2021-05-08,25800,5005,79985,350471
2021-05-09,25797,4971,80100,350873
2021-05-10,25666,4870,80392,351795
2021-05-11,25028,4743,80628,353370
2021-05-12,24254,4583,80812,354860
2021-05-13,23656,4442,80943,355927
2021-05-14,23406,4352,81116,356700
2021-05-15,22950,4271,81228,357613
2021-05-16,22963,4255,81309,357928
2021-05-17,22749,4186,81505,358776
2021-05-18,22058,4015,81692,360213
2021-05-19,21347,3862,81833,361460
2021-05-20,20750,3769,81966,362593
2021-05-21,20209,3631,82075,363600
2021-05-22,19765,3544,82164,364391
2021-05-23,19720,3515,82234,364695
2021-05-24,19701,3496,82296,364902
2021-05-25,19430,3447,82494,365739
2021-05-26,18593,3330,82638,367046
2021-05-27,17941,3206,82780,368023
2021-05-28,17272,3104,82878,369109
2021-05-29,16847,3028,82946,369789
2021-05-30,16775,2993,82990,370014
2021-05-31,16596,2945,83116,370577
2021-06-01,16088,2825,83243,371500
2021-06-02,15638,2754,83339,372310
2021-06-03,15283,2677,83409,373033
2021-06-04,14801,2571,83490,373818
2021-06-05,14532,2525,83547,374281
2021-06-06,14525,2527,83572,374416
2021-06-07,14323,2472,83636,374909
2021-06-08,13984,2394,83708,375569
2021-06-09,13526,2326,83773,376342
2021-06-10,13090,2245,83841,376974
2021-06-11,12712,2163,83910,377596
2021-06-12,12496,2110,83944,377961
2021-06-13,12480,2106,83957,378063
2021-06-14,12374,2068,84020,378429
2021-06-15,11895,1952,84096,379108
2021-06-16,11519,1873,84140,379635
2021-06-17,11114,1799,84196,380195
2021-06-18,10738,1740,84246,380667
2021-06-19,10531,1703,84268,380930
2021-06-20,10518,1703,84282,380979
2021-06-21,10386,1655,84322,381278
2021-06-22,10046,1560,84373,381726
2021-06-23,9771,1509,84406,382124
2021-06-24,9392,1439,84450,382593
2021-06-25,9190,1389,84483,382897
2021-06-26,9024,1349,84495,383122
2021-06-27,8986,1345,84512,383185
2021-06-28,8846,1304,84556,383447
2021-06-29,8627,1250,84584,383768
2021-06-30,8451,1204,84609,384051
2021-07-01,8232,1162,84638,384338
2021-07-02,8044,1123,84662,384616
2021-07-03,7912,1102,84679,384781
2021-07-04,7913,1104,84688,384812
2021-07-05,7806,1077,84724,385013
2021-07-06,7637,1032,84758,385289
2021-07-07,7539,997,84786,385490
2021-07-08,7384,971,84811,385720
2021-07-09,7275,953,84829,385950
2021-07-10,7183,947,84848,386122
2021-07-11,7183,947,84852,386141
2021-07-12,7137,957,84880,386424
2021-07-13,7076,933,84902,386704
2021-07-14,7047,931,84908,386839
2021-07-15,7054,914,84924,387017
2021-07-16,6971,899,84946,387297
2021-07-17,6922,890,84962,387439
2021-07-18,6936,891,84967,387469
2021-07-19,7041,902,84987,387703
2021-07-20,6912,876,85020,388118
2021-07-21,6869,859,85042,388402
2021-07-22,6832,868,85053,388707
2021-07-23,6802,872,85082,389021
2021-07-24,6787,878,85104,389197
2021-07-25,6843,886,85110,389226
2021-07-26,7079,952,85154,389531
2021-07-27,7137,978,85182,389996
2021-07-28,7208,992,85225,390367
2021-07-29,7236,1015,85252,390784
2021-07-30,7363,1072,85312,391216
2021-07-31,7409,1099,85355,391581
2021-08-01,7581,1137,85373,391689
2021-08-02,7840,1232,85424,392055
2021-08-03,7974,1331,85480,392634
2021-08-04,8134,1371,85528,393129
2021-08-05,8210,1420,85577,393723
2021-08-06,8368,1458,85637,394324
2021-08-07,8425,1510,85669,394709
2021-08-08,8685,1556,85697,394910
2021-08-09,9022,1667,85765,395310
2021-08-10,9153,1712,85833,396002
2021-08-11,9233,1745,85886,396616
2021-08-12,9465,1807,85963,397162
2021-08-13,9546,1831,86037,397828
2021-08-14,9648,1837,86088,398257
2021-08-15,9798,1852,86132,398445
2021-08-16,10151,1908,86228,398924
2021-08-17,10219,1953,86339,399763
2021-08-18,10336,2054,86451,400539
2021-08-19,10392,2049,86578,401284
2021-08-20,10515,2091,86660,401946
2021-08-21,10463,2106,86789,402615
2021-08-22,10651,2128,86883,402848
2021-08-23,11007,2215,86991,403285
2021-08-24,11066,2221,87143,404141
2021-08-25,11171,2239,87236,404823
2021-08-26,11104,2261,87343,405490
2021-08-27,11162,2270,87438,406229
2021-08-28,11052,2259,87512,406709
2021-08-29,11092,2276,87565,406911
2021-08-30,11245,2290,87663,407355
2021-08-31,11120,2292,87797,408275
2021-09-01,11119,2294,87880,408908
2021-09-02,10934,2275,87983,409615
2021-09-03,10816,2259,88076,410229
2021-09-04,10654,2223,88159,410710
2021-09-05,10644,2217,88208,410888
2021-09-06,10757,2249,88310,411314
2021-09-07,10646,2259,88418,412039
2021-09-08,10438,2224,88518,412721
2021-09-09,10323,2195,88621,413273
2021-09-10,10115,2151,88701,413880
2021-09-11,10018,2131,88747,414243
2021-09-12,10012,2129,88776,414405
2021-09-13,9986,2103,88862,414778
2021-09-14,9739,2000,88956,415490
2021-09-15,9555,1959,89033,416030
2021-09-16,9297,1952,89098,416554
2021-09-17,9070,1891,89164,417059
2021-09-18,8912,1837,89206,417399
2021-09-19,8887,1832,89234,417505
2021-09-20,8845,1805,89255,417826
2021-09-21,8594,1744,89407,418397
2021-09-22,8414,1656,89465,418859
2021-09-23,8237,1609,89527,419256
2021-09-24,8107,1586,89576,419628
2021-09-25,7980,1571,89605,419912
2021-09-26,7994,1577,89619,419971
2021-09-27,7980,1571,89693,420247
2021-09-28,7801,1524,89751,420645
2021-09-29,7726,1466,89793,420934
2021-09-30,7565,1414,89849,421264
2021-10-01,7410,1355,89895,421579
2021-10-02,7294,1325,89925,421787
